V (MPH);J;Pe;Ct;Cp;PWR (HP);Torque (IN.LBF);Thrust (LBF);DIAMETER (IN);PITCH (IN);TYPE;BLADE(nb);COMP;RPM
0.0;0.0;0.0;0.1102;0.0428;0.003;0.087;0.14;10;4.5;MR;2;1;2000
0.5;0.02;0.0621;0.1086;0.0432;0.003;0.088;0.138;10;4.5;MR;2;1;2000
0.9;0.05;0.1212;0.1068;0.0435;0.003;0.088;0.136;10;4.5;MR;2;1;2000
1.4;0.07;0.1774;0.105;0.0439;0.003;0.089;0.134;10;4.5;MR;2;1;2000
1.9;0.1;0.2305;0.103;0.0442;0.003;0.09;0.131;10;4.5;MR;2;1;2000
2.3;0.12;0.2806;0.1009;0.0444;0.003;0.09;0.129;10;4.5;MR;2;1;2000
2.8;0.15;0.3278;0.0985;0.0445;0.003;0.09;0.125;10;4.5;MR;2;1;2000
3.3;0.17;0.372;0.0958;0.0445;0.003;0.09;0.122;10;4.5;MR;2;1;2000
3.7;0.2;0.4132;0.093;0.0445;0.003;0.09;0.118;10;4.5;MR;2;1;2000
4.2;0.22;0.4512;0.0899;0.0443;0.003;0.09;0.115;10;4.5;MR;2;1;2000
4.7;0.25;0.4863;0.0867;0.044;0.003;0.089;0.11;10;4.5;MR;2;1;2000
5.1;0.27;0.5183;0.0832;0.0436;0.003;0.088;0.106;10;4.5;MR;2;1;2000
5.6;0.3;0.5472;0.0796;0.0431;0.003;0.087;0.101;10;4.5;MR;2;1;2000
6.1;0.32;0.5732;0.0759;0.0425;0.003;0.086;0.097;10;4.5;MR;2;1;2000
6.5;0.35;0.5964;0.072;0.0418;0.003;0.085;0.092;10;4.5;MR;2;1;2000
7.0;0.37;0.617;0.0681;0.0409;0.003;0.083;0.087;10;4.5;MR;2;1;2000
7.5;0.4;0.6351;0.0638;0.0397;0.003;0.081;0.081;10;4.5;MR;2;1;2000
8.0;0.42;0.6505;0.0594;0.0383;0.002;0.078;0.076;10;4.5;MR;2;1;2000
8.4;0.44;0.6635;0.0548;0.0367;0.002;0.075;0.07;10;4.5;MR;2;1;2000
8.9;0.47;0.674;0.0501;0.0349;0.002;0.071;0.064;10;4.5;MR;2;1;2000
9.4;0.49;0.6823;0.0456;0.033;0.002;0.067;0.058;10;4.5;MR;2;1;2000
9.8;0.52;0.6891;0.0417;0.0314;0.002;0.064;0.053;10;4.5;MR;2;1;2000
10.3;0.54;0.6928;0.0376;0.0295;0.002;0.06;0.048;10;4.5;MR;2;1;2000
10.8;0.57;0.6906;0.033;0.0271;0.002;0.055;0.042;10;4.5;MR;2;1;2000
11.2;0.59;0.6799;0.0278;0.0242;0.002;0.049;0.035;10;4.5;MR;2;1;2000
11.7;0.62;0.6561;0.0224;0.0211;0.001;0.043;0.029;10;4.5;MR;2;1;2000
12.2;0.64;0.6085;0.017;0.0179;0.001;0.036;0.022;10;4.5;MR;2;1;2000
12.6;0.67;0.5178;0.0114;0.0147;0.001;0.03;0.015;10;4.5;MR;2;1;2000
13.1;0.69;0.3462;0.0057;0.0114;0.001;0.023;0.007;10;4.5;MR;2;1;2000
13.6;0.72;-0.0085;-0.0001;0.0082;0.001;0.017;0.0;10;4.5;MR;2;1;2000
0.0;0.0;0.0;0.1122;0.0441;0.01;0.201;0.322;10;4.5;MR;2;1;3000
0.7;0.02;0.0603;0.1107;0.0445;0.01;0.203;0.317;10;4.5;MR;2;1;3000
1.4;0.05;0.118;0.109;0.0449;0.01;0.205;0.313;10;4.5;MR;2;1;3000
2.1;0.07;0.1728;0.1072;0.0451;0.01;0.206;0.307;10;4.5;MR;2;1;3000
2.8;0.1;0.2249;0.1052;0.0454;0.01;0.207;0.302;10;4.5;MR;2;1;3000
3.4;0.12;0.2743;0.103;0.0455;0.01;0.208;0.295;10;4.5;MR;2;1;3000
4.1;0.15;0.3209;0.1005;0.0456;0.01;0.208;0.288;10;4.5;MR;2;1;3000
4.8;0.17;0.3646;0.0979;0.0456;0.01;0.208;0.281;10;4.5;MR;2;1;3000
5.5;0.19;0.4055;0.095;0.0454;0.01;0.207;0.272;10;4.5;MR;2;1;3000
6.2;0.22;0.4436;0.0919;0.0452;0.01;0.206;0.263;10;4.5;MR;2;1;3000
6.9;0.24;0.4787;0.0886;0.0449;0.01;0.205;0.254;10;4.5;MR;2;1;3000
7.6;0.27;0.5111;0.0851;0.0444;0.01;0.203;0.244;10;4.5;MR;2;1;3000
8.3;0.29;0.5404;0.0815;0.0439;0.01;0.2;0.234;10;4.5;MR;2;1;3000
9.0;0.32;0.5669;0.0777;0.0432;0.009;0.197;0.223;10;4.5;MR;2;1;3000
9.6;0.34;0.5907;0.0737;0.0424;0.009;0.193;0.211;10;4.5;MR;2;1;3000
10.3;0.36;0.6118;0.0697;0.0415;0.009;0.189;0.2;10;4.5;MR;2;1;3000
11.0;0.39;0.6303;0.0655;0.0404;0.009;0.184;0.188;10;4.5;MR;2;1;3000
11.7;0.41;0.6465;0.0613;0.0391;0.008;0.178;0.176;10;4.5;MR;2;1;3000
12.4;0.44;0.6602;0.0568;0.0376;0.008;0.172;0.163;10;4.5;MR;2;1;3000
13.1;0.46;0.6715;0.0523;0.0359;0.008;0.164;0.15;10;4.5;MR;2;1;3000
13.8;0.49;0.6803;0.0476;0.034;0.007;0.155;0.137;10;4.5;MR;2;1;3000
14.5;0.51;0.6864;0.0428;0.0317;0.007;0.145;0.123;10;4.5;MR;2;1;3000
15.2;0.53;0.689;0.0378;0.0293;0.006;0.134;0.108;10;4.5;MR;2;1;3000
15.8;0.56;0.6863;0.0327;0.0266;0.006;0.121;0.094;10;4.5;MR;2;1;3000
16.5;0.58;0.6761;0.0275;0.0237;0.005;0.108;0.079;10;4.5;MR;2;1;3000
17.2;0.61;0.6544;0.0222;0.0205;0.004;0.094;0.064;10;4.5;MR;2;1;3000
17.9;0.63;0.6099;0.0167;0.0173;0.004;0.079;0.048;10;4.5;MR;2;1;3000
18.6;0.65;0.523;0.0113;0.0141;0.003;0.064;0.032;10;4.5;MR;2;1;3000
19.3;0.68;0.3552;0.0057;0.0108;0.002;0.05;0.016;10;4.5;MR;2;1;3000
20.0;0.7;-0.0018;0.0;0.0076;0.002;0.035;0.0;10;4.5;MR;2;1;3000
0.0;0.0;0.0;0.1123;0.0442;0.023;0.358;0.572;10;4.5;MR;2;1;4000
0.9;0.02;0.0595;0.1109;0.0446;0.023;0.362;0.565;10;4.5;MR;2;1;4000
1.8;0.05;0.1163;0.1092;0.0449;0.023;0.364;0.557;10;4.5;MR;2;1;4000
2.7;0.07;0.1705;0.1074;0.0452;0.023;0.366;0.547;10;4.5;MR;2;1;4000
